h_id	tax_id	enterez_id	genesymbol	??	???
62	10090	71991	Ercc8	110625789	NP_082318.2
62	10116	310071	Ercc8	402766086	NP_001101120.2
63	9606	1180	CLCN1	119433677	NP_000074.2
63	10090	12723	Clcn1	29789048	NP_038519.1
63	10116	25688	Clcn1	6978663	NP_037279.1
65	9606	1188	CLCNKB	155969705	NP_000076.2
65	10090	12733	Clcnka	226423869	NP_001139779.1
65	10116	79425	Clcnka	16758030	NP_445779.1
69	9606	1278	COL1A2	48762934	NP_000080.2
69	10090	12843	Col1a2	111120329	NP_031769.2
69	10116	84352	Col1a2	16758080	NP_445808.1
73	9606	1294	COL7A1	4502961	NP_000085.1
73	10090	12836	Col7a1	115647999	NP_031764.2
73	10116	301012	Col7a1	157819015	NP_001100328.1
74	9606	1311	COMP	40217843	NP_000086.2
74	10090	12845	Comp	162287140	NP_057894.2
74	10116	25304	Comp	6978679	NP_036966.1
75	9606	1356	CP	4557485	NP_000087.1
75	10090	12870	Cp	442745912	NP_001263177.1
75	10116	24268	Cp	401461788	NP_001257890.1
76	9606	1371	CPOX	41393599	NP_000088.3
76	10090	12892	Cpox	161484660	NP_031783.2
76	10116	304024	Cpox	79749365	NP_001032172.1
77	9606	1376	CPT2	4503023	NP_000089.1
77	10090	12896	Cpt2	162138915	NP_034079.2
77	10116	25413	Cpt2	6978705	NP_037062.1
78	9606	1471	CST3	4503107	NP_000090.1
78	10090	13010	Cst3	31981822	NP_034106.2
78	10116	25307	Cst3	54234046	NP_036969.1
79	9606	1476	CSTB	4503117	NP_000091.1
79	10090	13014	Cstb	6681071	NP_031819.1
79	10116	25308	Cstb	6978715	NP_036970.1
80	9606	1535	CYBA	68509914	NP_000092.2
80	10090	13057	Cyba	160948588	NP_031832.2
80	10116	79129	Cyba	13162359	NP_077074.1
83	9606	1643	DDB2	4557515	NP_000098.1
83	10090	107986	Ddb2	29150251	NP_082395.2
83	10116	100362121	Ddb2	405113037	NP_001258275.1
84	9606	1738	DLD	91199540	NP_000099.2
84	10090	13382	Dld	31982856	NP_031887.2
84	10116	298942	Dld	40786469	NP_955417.1
85	9606	1806	DPYD	119943098	NP_000101.2
85	10090	99586	Dpyd	25140985	NP_740748.1
85	10116	81656	Dpyd	13591940	NP_112289.1
88	9606	1908	EDN3	46370060	NP_996915.1
88	10090	13616	Edn3	6681267	NP_031929.1
88	10116	366270	Edn3	117647214	NP_001071118.1
89	9606	1910	EDNRB	319655697	NP_001188326.1
89	10090	13618	Ednrb	209862929	NP_001129533.1
89	10116	50672	Ednrb	8393333	NP_059029.1
91	9606	2010	EMD	4557553	NP_000108.1
91	10090	13726	Emd	6679641	NP_031953.1
91	10116	25437	Emd	6978805	NP_037080.1
92	9606	2022	ENG	168693647	NP_001108225.1
92	10090	13805	Eng	226437649	NP_001139820.1
92	10116	497010	Eng	58219539	NP_001010968.1
93	9606	2038	EPB42	166362735	NP_000110.2
93	10090	13828	Epb4.2	7305035	NP_038541.1
93	10116	362202	Epb42	157819871	NP_001102060.1
94	9606	2052	EPHX1	4503583	NP_000111.1
94	10090	13849	Ephx1	6753762	NP_034275.1
94	10116	25315	Ephx1	77539442	NP_001029262.1
95	9606	2057	EPOR	4503591	NP_000112.1
95	10090	13857	Epor	116292186	NP_034279.3
95	10116	24336	Epor	59709455	NP_058698.2
96	9606	2071	ERCC3	4557563	NP_000113.1
96	10090	13872	Ercc3	19526800	NP_598419.1
96	10116	291703	Ercc3	72255519	NP_001026814.1
100	9606	2108	ETFA	4503607	NP_000117.1
100	10090	110842	Etfa	227500281	NP_663590.3
100	10116	300726	Etfa	57527204	NP_001009668.1
104	9606	2153	F5	105990535	NP_000121.2
104	10090	14067	F5	6679731	NP_032002.1
104	10116	304929	F5	114145569	NP_001041343.1
106	9606	2158	F9	4503649	NP_000124.1
106	10090	14071	F9	73661202	NP_032005.1
106	10116	24946	F9	281604082	NP_113728.1
107	9606	2169	FABP2	194097325	NP_000125.2
107	10090	14079	Fabp2	6679737	NP_032006.1
107	10116	25598	Fabp2	6978827	NP_037200.1
108	9606	2175	FANCA	66880553	NP_000126.2
108	10090	14087	Fanca	242397507	NP_058621.2
108	10116	361435	Fanca	157823563	NP_001101925.1
109	9606	2176	FANCC	344217746	NP_001230672.1
109	10090	14088	Fancc	111185912	NP_001036138.1
109	10116	24361	Fancc	401709948	NP_036689.2
110	9606	2184	FAH	4557587	NP_000128.1
110	10090	14085	Fah	240120112	NP_034306.2
110	10116	29383	Fah	8393349	NP_058877.1
112	9606	2206	MS4A2	4503677	NP_000130.1
112	10090	14126	Ms4a2	7305049	NP_038544.1
112	10116	25316	Ms4a2	6978835	NP_036977.1
113	9606	2235	FECH	60499021	NP_000131.2
113	10090	14151	Fech	20452466	NP_032024.2
113	10116	361338	Fech	157823017	NP_001101904.1
115	9606	2271	FH	19743875	NP_000134.2
115	10090	14194	Fh1	226823367	NP_034339.2
115	10116	24368	Fh	158186722	NP_058701.2
117	9606	2492	FSHR	31657138	NP_000136.2
117	10090	14309	Fshr	242397446	NP_038551.3
117	10116	25449	Fshr	40385885	NP_954707.1
119	9606	2519	FUCA2	40068512	NP_114409.2
119	10090	66848	Fuca2	31541791	NP_080075.2
119	10116	292485	Fuca2	51948408	NP_001004218.1
120	9606	2523	FUT1	4503805	NP_000139.1
120	10090	14343	Fut1	49355810	NP_032077.2
120	10116	81919	Fut1	13676841	NP_112515.1
124	9606	2581	GALC	83281450	NP_000144.2
124	10090	14420	Galc	93102411	NP_032105.2
124	10116	314360	Galc	54312098	NP_001005888.1
125	9606	2584	GALK1	4503895	NP_000145.1
125	10090	14635	Galk1	93102413	NP_058601.2
125	10116	287835	Galk1	56605662	NP_001008283.1
126	9606	2592	GALT	22165416	NP_000146.2
126	10090	14430	Galt	120952695	NP_057867.2
126	10116	298003	Galt	61556907	NP_001013107.1
129	9606	2632	GBE1	189458812	NP_000149.3
129	10090	74185	Gbe1	17975508	NP_083079.1
129	10116	288333	Gbe1	281332160	NP_001093972.1
130	9606	2639	GCDH	4503943	NP_000150.1
130	10090	270076	Gcdh	390190196	NP_032123.3
130	10116	364975	Gcdh	157820807	NP_001102366.1
131	9606	2642	GCGR	4503947	NP_000151.1
131	10090	14527	Gcgr	160298176	NP_032127.2
131	10116	24953	Gcgr	25742861	NP_742089.1
132	9606	2643	GCH1	4503949	NP_000152.1
132	10090	14528	Gch1	6679967	NP_032128.1
132	10116	29244	Gch1	13242245	NP_077332.1
134	9606	2690	GHR	334883127	NP_001229328.1
134	10090	14600	Ghr	556503394	NP_001273299.1
134	10116	25235	Ghr	8393434	NP_058790.1
136	9606	2697	GJA1	4504001	NP_000156.1
136	10090	14609	Gja1	6753992	NP_034418.1
136	10116	24392	Gja1	6978896	NP_036699.1
137	9606	2705	GJB1	4504005	NP_000157.1
137	10090	14618	Gjb1	22165406	NP_032150.2
137	10116	29584	Gjb1	8393444	NP_058947.1
139	9606	2737	GLI3	119393899	NP_000159.3
139	10090	14634	Gli3	120953173	NP_032156.2
139	10116	140588	Gli3	281332126	NP_536330.1
141	9606	2731	GLDC	108773801	NP_000161.2
141	10090	104174	Gldc	20070408	NP_613061.1
141	10116	309312	Gldc	157817498	NP_001101053.1
142	9606	8001	GLRA3	110347441	NP_006520.2
142	10090	110304	Glra3	120300936	NP_536686.2
142	10116	114516	Glra3	155369743	NP_446176.3
143	9606	2811	GP1BA	291190772	NP_000164.5
143	10090	14723	Gp1ba	158635962	NP_034456.2
143	10116	691992	Gp1ba	157820841	NP_001103124.1
144	9606	2815	GP9	4504077	NP_000165.1
144	10090	54368	Gp9	9055226	NP_061232.1
144	10116	502858	Gp9	73532774	NP_001026995.1
145	9606	2821	GPI	18201905	NP_000166.2
145	10090	14751	Gpi1	254553458	NP_032181.2
145	10116	292804	Gpi	46485440	NP_997475.1
147	9606	2934	GSN	4504165	NP_000168.1
147	10090	227753	Gsn	28916693	NP_666232.2
147	10116	296654	Gsn	51854227	NP_001004080.1
148	9606	2937	GSS	4504169	NP_000169.1
148	10090	14854	Gss	6680117	NP_032206.1
148	10116	25458	Gss	25742757	NP_037094.1
149	9606	2956	MSH6	4504191	NP_000170.1
149	10090	17688	Msh6	6754744	NP_034960.1
149	10116	100360342	LOC100360342	564354926	XP_006239796.1
152	9606	3030	HADHA	20127408	NP_000173.2
152	10090	97212	Hadha	33859811	NP_849209.1
152	10116	170670	Hadha	148747393	NP_570839.2
153	9606	3032	HADHB	4504327	NP_000174.1
153	10090	231086	Hadhb	21704100	NP_663533.1
153	10116	171155	Hadhb	19424338	NP_598302.1
156	9606	3081	HGD	115527117	NP_000178.2
156	10090	15233	Hgd	240120123	NP_038575.2
156	10116	360719	Hgd	58865860	NP_001012145.1
158	9606	3145	HMBS	20149500	NP_000181.2
158	10090	15288	Hmbs	159110431	NP_038579.2
158	10116	25709	Hmbs	78214363	NP_037300.2
159	9606	3155	HMGCL	62198232	NP_000182.2
159	10090	15356	Hmgcl	171543858	NP_032280.2
159	10116	79238	Hmgcl	13242293	NP_077362.1
160	9606	6910	TBX5	18201892	NP_000183.2
160	10090	21388	Tbx5	34098933	NP_035667.1
160	10116	304514	Tbx5	58000411	NP_001009964.1
163	9606	3257	HPS1	33286416	NP_000186.2
163	10090	192236	Hps1	9506573	NP_062297.1
163	10116	114638	Hps1	16163668	NP_414541.1
167	9606	6448	SGSH	4506919	NP_000190.1
167	10090	27029	Sgsh	31543697	NP_061292.2
168	9606	3383	ICAM1	167466198	NP_000192.2
168	10090	15894	Icam1	21389311	NP_034623.1
168	10116	25464	Icam1	6981068	NP_037099.1
169	9606	3423	IDS	4557659	NP_000193.1
169	10090	15931	Ids	84781812	NP_034628.2
169	10116	363513	Ids	564364189	XP_006243311.1
170	9606	3425	IDUA	110611239	NP_000194.2
170	10090	15932	Idua	170172526	NP_032351.2
170	10116	360904	Idua	285026506	NP_001165555.1
171	9606	3426	CFI	119392081	NP_000195.2
171	10090	12630	Cfi	110347406	NP_031712.2
171	10116	79126	Cfi	13162353	NP_077071.1
172	9606	3561	IL2RG	4557882	NP_000197.1
172	10090	16186	Il2rg	7305181	NP_038591.1
172	10116	140924	Il2rg	61097900	NP_543165.1
173	9606	3630	INS	4557671	NP_000198.1
173	10090	16334	Ins2	6680463	NP_032413.1
173	10116	24506	Ins2	9506817	NP_062003.1
175	9606	3651	PDX1	4557673	NP_000200.1
175	10090	18609	Pdx1	6679269	NP_032840.1
175	10116	29535	Pdx1	50838802	NP_074043.3
179	9606	3691	ITGB4	54607035	NP_000204.3
179	10090	192897	Itgb4	110735426	NP_001005608.2
179	10116	25724	Itgb4	6981108	NP_037312.1
180	9606	182	JAG1	4557679	NP_000205.1
180	10090	16449	Jag1	7305197	NP_038850.1
180	10116	29146	Jag1	9506825	NP_062020.1
181	9606	3718	JAK3	47157315	NP_000206.2
181	10090	16453	Jak3	46559418	NP_034719.2
181	10116	25326	Jak3	300116243	NP_036987.2
183	9606	3736	KCNA1	119395748	NP_000208.2
183	10090	16485	Kcna1	119395752	NP_034725.3
183	10116	24520	Kcna1	27465523	NP_775118.1
185	9606	102723475	LOC102723475	578836392	XP_006724009.1
185	10090	16509	Kcne1	6680528	NP_032450.1
185	10116	25471	Kcne1	6981124	NP_037105.1
187	9606	3815	KIT	4557695	NP_000213.1
187	10090	16590	Kit	170650721	NP_001116205.1
187	10116	64030	Kit	11560079	NP_071600.1
188	9606	3859	KRT12	4557699	NP_000214.1
188	10090	268482	Krt12	118130981	NP_034791.2
188	10116	360625	Krt12	56912239	NP_001008761.1
191	9606	3914	LAMB3	62868217	NP_001017402.1
191	10090	16780	Lamb3	485050325	NP_001264857.1
191	10116	305078	Lamb3	281371337	NP_001094311.1
193	9606	3952	LEP	4557715	NP_000221.1
193	10090	16846	Lep	6678678	NP_032519.1
193	10116	25608	Lep	6981148	NP_037208.1
194	9606	6445	SGCG	4557847	NP_000222.1
194	10090	24053	Sgcg	6755488	NP_036022.1
194	10116	305941	Sgcg	55741776	NP_001006994.1
195	9606	6443	SGCB	4506913	NP_000223.1
195	10090	24051	Sgcb	6755482	NP_036020.1
195	10116	680229	Sgcb	300797179	NP_001177997.1
197	9606	3978	LIG1	4557719	NP_000225.1
197	10090	16881	Lig1	133892807	NP_001076657.1
197	10116	81513	Lig1	66730439	NP_001019439.1
197	10116	100911727	LOC100911727	564326351	XP_003748816.2
199	9606	3990	LIPC	194097335	NP_000227.2
199	10090	15450	Lipc	31982278	NP_032306.2
199	10116	24538	Lipc	56961643	NP_036729.2
200	9606	4023	LPL	4557727	NP_000228.1
200	10090	16956	Lpl	126723006	NP_032535.2
200	10116	24539	Lpl	6981168	NP_036730.1
201	9606	3757	KCNH2	4557729	NP_000229.1
201	10090	16511	Kcnh2	157042785	NP_038597.2
201	10116	117018	Kcnh2	16758828	NP_446401.1
203	9606	4128	MAOA	4557735	NP_000231.1
203	10090	17161	Maoa	255759902	NP_776101.3
203	10116	29253	Maoa	270288740	NP_387502.1
206	9606	4233	MET	188595716	NP_001120972.1
206	10090	17295	Met	146198696	NP_032617.2
206	10116	24553	Met	13928700	NP_113705.1
207	9606	4261	CIITA	556695495	NP_001273331.1
207	10090	12265	Ciita	344217725	NP_001230689.1
207	10116	85483	Ciita	399154119	NP_445981.2
208	9606	4292	MLH1	4557757	NP_000240.1
208	10090	17350	Mlh1	255958238	NP_081086.2
208	10116	81685	Mlh1	13591989	NP_112315.1
210	9606	4436	MSH2	4557761	NP_000242.1
210	10090	17685	Msh2	6678938	NP_032654.1
210	10116	81709	Msh2	13591999	NP_112320.1
212	9606	4547	MTTP	153285408	NP_000244.2
212	10090	17777	Mttp	254540223	NP_032668.2
212	10116	310900	Mttp	157819691	NP_001101197.1
215	9606	4607	MYBPC3	148596957	NP_000247.2
215	10090	17868	Mybpc3	134031947	NP_032679.2
215	10116	295929	Mybpc3	157824043	NP_001099960.1
219	9606	4647	MYO7A	189083798	NP_000251.3
219	10090	17921	Myo7a	367460064	NP_001243010.1
219	10116	266714	Myo7a	23618899	NP_703203.1
220	9606	4653	MYOC	4557779	NP_000252.1
220	10090	17926	Myoc	190610029	NP_034995.3
220	10116	81523	Myoc	13540693	NP_110492.1
221	9606	4668	NAGA	4557781	NP_000253.1
221	10090	17939	Naga	168693635	NP_032695.3
221	10116	315165	Naga	58865810	NP_001012120.1
222	9606	4669	NAGLU	66346698	NP_000254.2
222	10090	27419	Naglu	254910995	NP_038820.2
222	10116	360630	Naglu	392351622	XP_002727861.2
223	9606	5727	PTCH1	134254446	NP_000255.2
223	10090	19206	Ptch1	6679519	NP_032983.1
223	10116	89830	Ptch1	39930495	NP_446018.1
225	9606	4693	NDP	4557789	NP_000257.1
225	10090	17986	Ndp	6754808	NP_035013.1
226	9606	4763	NF1	109826564	NP_001035957.1
226	10090	18015	Nf1	34878892	NP_035027.1
226	10116	24592	Nf1	6981264	NP_036741.1
227	9606	4860	PNP	157168362	NP_000261.2
227	10090	667034	Pnp2	183074535	NP_001116843.1
227	10090	18950	Pnp	7305395	NP_038660.1
227	10116	290029	Pnp	157822819	NP_001099501.1
228	9606	4864	NPC1	255652944	NP_000262.2
228	10090	18145	Npc1	89242146	NP_032746.2
228	10116	266732	Npc1	311771778	NP_705888.2
229	9606	4867	NPHP1	189491776	NP_001121650.1
229	10090	53885	Nphp1	8393845	NP_058598.1
229	10116	296136	Nphp1	157824182	NP_001099976.1
230	9606	4935	GPR143	270265839	NP_000264.2
230	10090	18241	Gpr143	125347372	NP_035081.3
230	10116	302619	Gpr143	157819593	NP_001100428.1
231	9606	4942	OAT	4557809	NP_000265.1
231	10090	18242	Oat	8393866	NP_058674.1
231	10116	64313	Oat	11968102	NP_071966.1
233	9606	4952	OCRL	13325072	NP_000267.2
233	10090	320634	Ocrl	46195807	NP_796189.2
233	10116	317576	Ocrl	294845709	NP_001101726.2
234	9606	5053	PAH	4557819	NP_000268.1
234	10090	18478	Pah	171543886	NP_032803.2
234	10116	24616	Pah	158262033	NP_036751.2
236	9606	5095	PCCA	65506442	NP_000273.2
236	10090	110821	Pcca	254540162	NP_659093.2
236	10116	687008	Pcca	158303308	NP_062203.1
237	9606	5158	PDE6B	105990537	NP_000274.2
237	10090	18587	Pde6b	113930735	NP_032832.2
237	10116	289878	Pde6b	157822587	NP_001099494.1
239	9606	5184	PEPD	149589008	NP_000276.2
239	10090	18624	Pepd	170650724	NP_032846.2
239	10116	292808	Pepd	57528238	NP_001009641.1
240	9606	5193	PEX12	4505721	NP_000277.1
240	10090	103737	Pex12	19527244	NP_598786.1
240	10116	116718	Pex12	16758802	NP_446373.1
240	10116	100909787	LOC100909787	564373552	XP_006247088.1
242	9606	5191	PEX7	4505731	NP_000279.1
242	10090	18634	Pex7	6679283	NP_032848.1
242	10116	308718	Pex7	77628037	NP_001029319.1
246	9606	5256	PHKA2	4505781	NP_000283.1
246	10090	110094	Phka2	295424154	NP_001171350.1
246	10116	678739	Phka2	300253230	NP_001177923.1
247	9606	5257	PHKB	4505783	NP_000284.1
247	10090	102093	Phkb	40789096	NP_955517.1
247	10116	361377	Phkb	62079039	NP_001014174.1
250	9606	5310	PKD1	205360954	NP_001009944.2
250	10090	18763	Pkd1	124487380	NP_038658.2
250	10116	24650	Pkd1	383087760	NP_001244281.1
253	9606	5317	PKP1	53729344	NP_001005337.1
253	10090	18772	Pkp1	9790161	NP_062619.1
253	10116	304822	Pkp1	157821605	NP_001100651.1
254	9606	5320	PLA2G2A	4505849	NP_000291.1
254	10116	29692	Pla2g2a	291621686	NP_113786.3
256	9606	5351	PLOD1	32307144	NP_000293.2
256	10090	18822	Plod1	6755106	NP_035252.1
256	10116	116552	Plod1	400153797	NP_446279.2
257	9606	5373	PMM2	4557839	NP_000294.1
257	10090	54128	Pmm2	8393988	NP_058577.1
257	10116	302915	Pmm2	157820469	NP_001100443.1
259	9606	5449	POU1F1	170650730	NP_001116229.1
259	10090	18736	Pou1f1	6679335	NP_032875.1
259	10116	25517	Pou1f1	40254792	NP_037140.2
260	9606	5456	POU3F4	433288480	NP_000298.3
260	10090	18994	Pou3f4	6679427	NP_032927.1
260	10116	29589	Pou3f4	8394003	NP_058948.1
262	9606	5498	PPOX	4506001	NP_000300.1
262	10090	19044	Ppox	6679445	NP_032937.1
262	10116	289219	Ppox	157787006	NP_001099438.1
264	9606	5627	PROS1	192447438	NP_000304.2
264	10090	19128	Pros1	46309455	NP_035303.1
264	10116	81750	Pros1	145386553	NP_112348.2
265	9606	5728	PTEN	73765544	NP_000305.3
265	10090	19211	Pten	6679523	NP_032986.1
265	10116	50557	Pten	13928830	NP_113794.1
266	9606	5741	PTH	4506267	NP_000306.1
266	10090	19226	Pth	10181174	NP_065648.1
266	10116	24694	Pth	8394100	NP_058740.1
267	9606	5745	PTH1R	296080761	NP_001171673.1
267	10090	19228	Pth1r	145279235	NP_001077404.1
267	10116	56813	Pth1r	9910336	NP_064458.1
268	9606	5805	PTS	4506331	NP_000308.1
268	10090	19286	Pts	7110709	NP_035350.1
268	10116	29498	Pts	8394115	NP_058916.1
269	9606	5828	PEX2	289063469	NP_001165558.1
269	10090	19302	Pex2	254028176	NP_001156777.1
269	10116	29534	Pex2	8394121	NP_058930.1
270	9606	5830	PEX5	196259776	NP_001124498.1
270	10090	19305	Pex5	472339081	NP_001264259.1
270	10116	312703	Pex5	564348998	XP_006237446.1
271	9606	5860	QDPR	208973246	NP_000311.2
271	10090	110391	Qdpr	21312520	NP_077198.1
271	10116	64192	Qdpr	11693160	NP_071785.1
272	9606	5925	RB1	108773787	NP_000312.2
272	10090	19645	Rb1	188528630	NP_033055.2
272	10116	24708	Rb1	281332095	NP_058741.1
273	9606	5961	PRPH2	118572596	NP_000313.2
273	10090	19133	Prph2	7110699	NP_032964.1
273	10116	25534	Prph2	6981468	NP_037153.1
276	9606	6094	ROM1	4506575	NP_000318.1
276	10090	19881	Rom1	256665253	NP_033099.3
276	10116	309201	Rom1	57527403	NP_001009690.1
279	9606	6247	RS1	10835083	NP_000321.1
279	10090	20147	Rs1	42476341	NP_035432.3
279	10116	100125595	Rs1	157278015	NP_001098113.1
281	9606	6310	ATXN1	189491748	NP_001121636.1
281	10090	20238	Atxn1	334358891	NP_001186234.1
281	10116	25049	Atxn1	6981504	NP_036858.1
283	9606	6329	SCN4A	93587342	NP_000325.4
283	10090	110880	Scn4a	134948032	NP_573462.2
283	10116	25722	Scn4a	6981512	NP_037310.1
285	9606	6444	SGCD	21314619	NP_000328.2
285	10090	24052	Sgcd	6755484	NP_036021.1
285	10116	497892	Sgcd	198386317	NP_001128298.1
286	9606	6557	SLC12A1	134254459	NP_000329.2
286	10090	20495	Slc12a1	119226231	NP_899197.2
286	10116	25065	Slc12a1	396578170	NP_001257546.1
287	9606	6559	SLC12A3	186910315	NP_000330.2
287	10090	20497	Slc12a3	247301365	NP_062288.2
287	10116	54300	Slc12a3	158186720	NP_062218.3
292	9606	6606	SMN1	13259512	NP_075012.1
292	9606	6607	SMN2	13259529	NP_075014.1
292	10090	20595	Smn1	6755580	NP_035550.1
292	10116	64301	Smn1	11968084	NP_071954.1
293	9606	6622	SNCA	225690604	NP_001139527.1
293	10090	20617	Snca	109638747	NP_001035916.1
293	10116	29219	Snca	9507125	NP_062042.1
294	9606	6662	SOX9	4557853	NP_000337.1
294	10090	20682	Sox9	165932321	NP_035578.3
294	10116	140586	Sox9	392351708	XP_003750998.1
295	9606	6710	SPTB	67782321	NP_001020029.1
295	10090	20741	Sptb	84490394	NP_038703.3
295	10116	314251	Sptb	47058982	NP_997687.1
297	9606	6770	STAR	56243551	NP_000340.2
297	10090	20845	Star	31543776	NP_035615.2
297	10116	25557	Star	13928754	NP_113746.1
298	9606	24	ABCA4	105990541	NP_000341.2
298	10090	11304	Abca4	6671495	NP_031404.1
298	10116	310836	Abca4	157819513	NP_001101191.1
303	9606	6948	TCN2	21071010	NP_000346.2
303	10090	21452	Tcn2	194440742	NP_001123930.1
303	10116	64365	Tcn2	11968124	NP_071979.1
306	9606	7051	TGM1	4507475	NP_000350.1
306	10090	21816	Tgm1	239787892	NP_001155187.1
306	10116	60335	Tgm1	13928912	NP_113847.1
307	9606	7054	TH	88900505	NP_954987.2
307	10090	21823	Th	6678337	NP_033403.1
307	10116	25085	Th	6981652	NP_036872.1
308	9606	7056	THBD	4507483	NP_000352.1
308	10090	21824	Thbd	6678339	NP_033404.1
308	10116	83580	Thbd	13929084	NP_113959.1
309	9606	7137	TNNI3	151101270	NP_000354.4
309	10090	21954	Tnni3	6678393	NP_033432.1
309	10116	29248	Tnni3	8394469	NP_058840.1
313	9606	7172	TPMT	4507653	NP_000358.1
313	10090	22017	Tpmt	253795504	NP_058065.2
313	10116	690050	Tpmt	118601066	NP_001072999.1
314	9606	7248	TSC1	4507693	NP_000359.1
314	10090	64930	Tsc1	79750409	NP_075025.2
314	10116	60445	Tsc1	11177894	NP_068626.1
315	9606	7253	TSHR	64085121	NP_000360.2
315	10090	22095	Tshr	62990176	NP_035778.3
315	10116	25360	Tshr	6981680	NP_037020.1
317	9606	7276	TTR	4507725	NP_000362.1
317	10090	22139	Ttr	7305599	NP_038725.1
317	10116	24856	Ttr	333033763	NP_036813.2
319	9606	7372	UMPS	4507835	NP_000364.1
